bbc_url_id	date	news_title	label
49561007	3 Oṣù Owewe 2019	Xenophobic Attack: Awọn ọmọ Nàìjíria tí yarí pé àwọn náà yóò gbẹ̀san	africa
47683813	24 Oṣù Ẹrẹ̀nà 2019	Árẹ̀wá: Bákan náà ni a kò fẹ́ Atiku torí dúkìá àjọni wà tó fẹ́ tà	politics
47375620	27 Oṣù Èrèlè 2019	2019 Election update: Buhari borí; ó di ààrẹ Nàìjíríà tuntun	politics
51350982	2 Oṣù Èrèlè 2020	Nathaniel Samuel: Ìwádìí tí bẹ̀rẹ̀ lórí afurasí tó gbé ado olóró wọ ilé ìjọsìn Winners	nigeria
50975898	4 Oṣù Ṣẹ́rẹ́ 2020	Yoruba Film: Ṣé ẹ máa wá ní Pasuma ni mo bí àwọn ọmọ mi tó ń jẹ́ Kuti fún - Jaiye	entertainment
49982947	9 Oṣù Ọ̀wàrà 2019	2020 Budget: Owóyàá lábẹ́lé àti nílẹ̀ òkèèrè nìjọba fẹ́ fi gbọ́ bùkátà ìṣúná 2020	nigeria
47590712	15 Oṣù Ẹrẹ̀nà 2019	Building Collapse: Ìdí tí ilé fi ń wó nìyí'	nigeria
51165947	20 Oṣù Ṣẹ́rẹ́ 2020	Harry and Meghan: Mí o ṣààdédé gbé ìgbésẹ̀ láti kúrò nílé Ọba	world
51094681	15 Oṣù Ṣẹ́rẹ́ 2020	Wasiu Ayinde: Ó pọn dandan fún Mayegun láti ri pé àláfíà jọba	entertainment
51492242	13 Oṣù Èrèlè 2020	Okunnu: Ẹnu Ayinde Barrister ni mo ti gbọ́ orúkọ 'Okunnu' kí n tó máa jẹ́ẹ	entertainment
50332839	7 Oṣù Bélú 2019	Adigunjalè ń bèérè ẹyin, ouńjẹ ati aṣọ lọ́wọ́ àwọn tí wọ́n ń jà lólè ní ìpinlẹ Niger	nigeria
47517406	10 Oṣù Ẹrẹ̀nà 2019	Pius Adesanmi: Ọ̀gọ̀ọ̀rọ̀ èèyàn ń dárò ọ̀jọ̀gbọ́n ọmọ Nàìjíríà tó kú nínú ìjàmbá bàálù Ethiopia	africa
47127414	6 Oṣù Èrèlè 2019	Àwọn nnkan tó yẹ kí o mọ nípa Adekunle Akinlade ti ADM	politics
49034106	18 Oṣù Agẹmọ 2019	Ọọ̀ni: Ìpèníjà ààbò di ìràwọ̀ ọ̀sán tó ń ba àwa àgbà lẹ́rù	entertainment
48754424	25 Oṣù Òkúdu 2019	NIS ní àwọn kò ṣèṣẹ̀ máa fí ìwé irinnà ránṣẹ sí àwọn tó bá fẹ	nigeria
47444523	5 Oṣù Ẹrẹ̀nà 2019	ASUU Strike: Òtítọ́ wo ló wà nínú pé ASUU tún fẹ́ yanṣẹ́lódì?	nigeria
46767770	5 Oṣù Ṣẹ́rẹ́ 2019	NLC: Ìpàdé ọjọ́ Ajé ni yóò sọ bóyá á yansẹ́ lódì	nigeria
49463850	25 Oṣù Ògún 2019	Oyo Isese Day: Aug 20 ni ọjọ́ àkànṣe àdúrà sí Ọlọ́run àtàwọn Alálẹ̀	entertainment
50004884	10 Oṣù Ọ̀wàrà 2019	Lagos Police: Tí ìrònú bá ti pọjù , ó le ṣokùnfa àìṣiṣí nǹkan ọmọkùnrin	nigeria
49140057	27 Oṣù Agẹmọ 2019	NAFDAC: Ohun tí wọ́n fi ń se báàgì, bàtà ni wọ́n ń tà bíi ‘pọ̀ǹmọ́	health
50773040	13 Oṣù Ọ̀pẹ̀ 2019	Nigeria Presidency: Kí ló ń fa wàhálà ojojúmọ́ ní ilé Ààrẹ l'Abuja	nigeria
46860347	15 Oṣù Ṣẹ́rẹ́ 2019	Gani Adams: Inú ìpèbí ni Ọ̀yọ́mèsì ti pàṣẹ kí n yan olóyè mi	entertainment
48741692	24 Oṣù Òkúdu 2019	Ìbéèrè pọ̀ lórí òkú ọkùnrin kan tí ọlọ́pàá bá nínú àgbá ní Oyingbo	nigeria
51053560	9 Oṣù Ṣẹ́rẹ́ 2020	Ibadan Fire: Iná míràn tún ṣẹyọ nilú Ibadan	nigeria
47607888	18 Oṣù Ẹrẹ̀nà 2019	Olè Lekki: Obìnrin méjì ni wọ́n dá lọ́nà, tọ́wọ́ ọlọ́pàá fi tẹ̀ wọ́n	nigeria
51105677	14 Oṣù Ṣẹ́rẹ́ 2020	Naira Marley: Naira Marley moribọ, ilé ẹjọ́ tú ẹ̀sùn ìjọ́kọ̀gbé tí wọ́n fi kàn án ká	entertainment
49961439	7 Oṣù Ọ̀wàrà 2019	Sex For Grades: Four Square Church tí ní kí olùkọ́ fásitì Pasitọ̀ Boniface lọ fìdímọ́lé	nigeria
47550236	13 Oṣù Ẹrẹ̀nà 2019	Governorship Election Update: Àfikún ìdìbò yóò wáyé nìpínlẹ̀ mẹ́fà lọ́jọ́ kẹtàlélógún oṣù yìí	politics
50004891	11 Oṣù Ọ̀wàrà 2019	Busa 2019: Sadiya Umar Farouq - Obìnrin Olóṣelú tó lààmì laaka.	entertainment
48022680	23 Oṣù Ìgbé 2019	Ọọni: Ilẹ̀ ifẹ̀ ní ìran Ìgbò tí ṣẹ wá kìí ṣe ilẹ̀ juu	nigeria
47840626	6 Oṣù Ìgbé 2019	UI- Ìwádìí àyẹwò nìkan ló lè sọ ohùn tó pá olùkọ́ tó kù nínú ilé to jo	health
51047877	9 Oṣù Ṣẹ́rẹ́ 2020	Nkechi Blessing: Ọ̀rọ̀ ìfẹ́ wa dàbí ti Romeo àti Juliet	entertainment
50149491	23 Oṣù Ọ̀wàrà 2019	Dangote: Ẹ̀ yin ọmọ Nàíjíríà, ẹ máṣe sọ ìrètí nù nípa ilẹ̀ wa	nigeria
50004733	11 Oṣù Ọ̀wàrà 2019	Ìjọba Ekiti n gbèrò òfin tí yóò fí ìjìyà titẹ lọ́dàá jẹ àwọn afipábánilòpọ̀	nigeria
51232883	24 Oṣù Ṣẹ́rẹ́ 2020	Serena Williams: Wang tún da àlá Ife ẹ̀yẹ kẹrìnlélógùn fún Serena Williams rú	sport
46744384	3 Oṣù Ṣẹ́rẹ́ 2019	Ikú Djxgee: DJsosogee ní olóògbé fẹ́ràn ẹbí àti ọmọ	entertainment
50969808	2 Oṣù Ṣẹ́rẹ́ 2020	Operation Amotẹkun: Ẹ̀ṣọ́ ilẹ̀ Yorùbá 'Àmọ̀tẹ́kùn' ṣetán láti bẹ̀rẹ̀ iṣẹ́ káàkiri ilẹ̀ káàrọ́ọ̀ oò jíire	nigeria
50742313	11 Oṣù Ọ̀pẹ̀ 2019	Kìnìhún fa èèyàn kan ya ní Nairobi, àdúgbò dàrú	africa
46722887	2 Oṣù Ṣẹ́rẹ́ 2019	NCAA: A fún àwọn adarí ní ọ̀sẹ̀ méjì si láti dá wọn lóhùn	nigeria
50833184	18 Oṣù Ọ̀pẹ̀ 2019	Buhari: Baba 'Go slo' ní ìṣèjọba alágbádá ti ń falẹ̀ jù fún ipinnu òun gbogbo	politics
50149498	23 Oṣù Ọ̀wàrà 2019	Ondo Kidnap: Géńdé agbébọn jí adájọ́ gbé lọ ní ìpínlẹ̀ Ondo	nigeria
50208703	28 Oṣù Ọ̀wàrà 2019	Foluke Daramola: Ìgbé ayé gbajúmọ̀ gbọdọ̀ ṣèwúrí fún àwọn èèyàn láti dé ibi gíga	entertainment
48639801	14 Oṣù Òkúdu 2019	Kano Gorilla: Òṣìṣẹ́ 10 wọ gàù lórí ọ̀rọ̀ Ìnàkí tí wọ́n ló gbé owó tí wọn pa lásìkò ìtúnu ààwẹ̀	nigeria
46969533	23 Oṣù Ṣẹ́rẹ́ 2019	Danjuma: Ète ń lọ láti dá wàhálà sílẹ̀ láwọn ìpínlẹ̀ kan torí mọ̀kàrúrù ìbò	politics
49575716	4 Oṣù Owewe 2019	Xenophophia: Lizzy Anjorin, Yinka Ayefele, Mercy Aigbe sọ̀rọ̀ ìtùnú	africa
46674124	25 Oṣù Ọ̀pẹ̀ 2018	EFCC mo dé' àti àwọn àṣà míì táwọn olóṣèlú fi dagbo rú ní 2018	nigeria
49575700	4 Oṣù Owewe 2019	Xenophobia: Àwọn agbófinró dúró sẹ́nu ọ̀nà àbáwọlé Palm Mall Ibadan láti dẹ́kun ìkọlù	africa
