news_title	label
Atiku Abubakar Ya Kada Kuri'arsa A Jimeta A Jihar Adamawa	Politics
Kimanin mata dubu hamsin da biyar suke mutuwa a shekara lokacin haihuwa a Najeriya	Health
Afghanistan: Masu Fashin Baki Sun Nuna Shakku Kan Yiwuwar Kulla Yarjejeniya	World
Gwamnatin Kaduna Ta Gindaya Sharuddan Jinyar El-Zakzaky	Nigeria
An Fara Yi Wa Jami’an Tsaron Najeriya Binciken Kwakwalwa	Nigeria
Amurka ta saka Koriya ta Arewa cikin kasashen dake taimakawa ta'addanci	World
Sinadarin Vitamin C Na Cikin Dillalen Kashe Tarin Fuka	Health
Ana kara samun yara dauke da cutar shan inna a Najeriya	Health
Mai Yiwuwa Shugaban ISIS Na Da Rai	World
An Bullo da Wani Shiri na Talafawa Mata Masu Juna Biyu a Jihar Bauchi	Health
Kamfanin Pfizer Ya Fara Biyan Diyya A Kano	Health
Gwamnatin Tarayya taci alwashin shawo kan yaduwar zazzabin lassa	Health
Hukumar Zaben Nigeria Ta Kara Wa'adin Yin Rajista Zuwa Karshen Wata	Politics
Kisan Wani Matashi ya Janyo Takaddama da 'Yan Kwastam a Nijer	Africa
Masanan Lafiya Sun Shawarci ‘Yan Nigeriya Su Yi gwajin Ciwon Suga Lokaci Lokaci	Health
Hira da Dr. Sambo Sadiku Kan Raguwar Mutuwar Kananan Yara a Nijar Kashi na Daya	Health
Gwamna Rotimi Amaechi Zai Gana Da Bill Gates	Health
Matsalar Sufuri a Babban Birnin Tarayya Abuja	Nigeria
An Kai Hari A Wata Makarantar Mata A Jihar Zamfara	Nigeria
Buhari Ya Bayyana Makudan Kudaden Da Ake Sacewa Kasashen Afirka	Africa
Gobe Lahadi za a fara taron yaki da cutar kanjamau na kasa da kasa a birnin Washinton	Health
Ganduje Na Neman Ja'afar Ya Biya Shi Diyyar Biliyan 3	Politics
Kotu Ta Amince INEC Ta Ba Atiku Damar Duba Takardun Zabe	Politics
Nijar: An Kammala Taron Tsoffin Shugabannin Afirka	Africa
VOA Ta Kaddamar da Sabon Bidiyo Akan Illar Ta’addancin Boko Haram A Arewa Maso Gabashin Najeriya	World
Sai An Tashi Tsaye Wajen Yakar Ta'addanci A Kasashen Afrika	Africa
Rikicin Tiv-Jukun Na Damu Na – Buhari	Nigeria
Mata Masu Zaman Kan Su A Abuja Sun Zargi 'Yan Sanda Da Yi Mu Su Fyade	Nigeria
Yar Najeriya Na 'Daya Daga Cikin Mata Hudu Da Aka Karrama a Duniya	World
An Baiwa Gwamnatin Kano Shawarar Dakatar Da Sarki Sanusi Lamido Sanusi	Nigeria
Buhari Ya Yi Magana Da Mahaifiyar Leah Sharibu Karon Farko	Politics
Boris Johnson: Ya Zamo Sabon Shugaban Jam'iyyar Mazan Jiya	World
Manyan Malaman Islama Na Najeriya Sun Bayyana Goyon Baya Ga Yaki Da Polio	Health
Ministan Harkokin Noman Najeriya Ya Koka Akan Ingancin Irin Shuka a Najeriya	Nigeria
Simon Lalong Ya Yi Alkawarin Kawo Sauyi A Jihar Filato	Politics
An Kafa Kotu Ta Musamman Da Za Ta Binciki Jami'an Soji 21	Nigeria
Karin Bayanin Kafa Dokar Hana Fita a Gombe	Nigeria
Gwamnan Jihar Filato Ya Bayar Da Tabbacin Lashe Zaben Jihar	Politics
Masanan Lafiya Sun Kiyaye Ranar Cutar Ciwon Hakarkari ta Duniya	Health
Hukumar DPR Ta Rufe Wasu Gidajen Mai Na Bugi	Nigeria
An Sake Jan Damarar Yaki Da Polio A Jihar Bauchi	Health
An Rabama Sama da Mutane Miliyan Biyu Ragar Gidan Sauro a Jihar Naija	Health
Dole A Ba Kananan Hukumomi Kudaden Su Kai Tsaye	Politics
Shin Muhawarar 'Yan takara Na Yin Tasiri a Siyasar Najeriya?	Politics
Shugaban Amurka Na Shirin Kiran Iyalan Sojojin da Aka Kashe a Nijar	World
An Gudanar Da taron Tunkarar Sauyin Yanayi A Yamai, Nijer	Africa
Kada Ku Yarda Ku Shiga Bangar Siyasa: Amina Titi Atiku Abubakar	Politics
Wani Tsohon Maganin Maleriya Da Aka So Daina Amfani Da Shi Ya Sake Samun Farin Jini	Health
Zamfara Na Samun Koma Baya A Sulhunta Da ‘Yan Bindiga	Nigeria
An Ceto Bakin Haure 211 Daga Tekun Libya	Africa
Matasan Arewa Sun Yi Tir Da Matakan Hukumomin Lagos Da Rivers	Nigeria
Yan Keke Napepe Sun Fara Yajin Aikin Gama-gari A Jihar Adamawa	Nigeria
Taliban Sun Hallaka Dakarun Afghanistan 40	World
Jami’an Tsaron Farin Kaya Na Tantance Sakon Sautin Leah Sharibu	Nigeria
Kwararru sun bayyana damuwa game da sabon maganin yaki da cutar kanjamau	Health
An Tilasta Wa Mazauna Gabar Kogin Binuwai Barin Gidajen Su	Nigeria
Malaman Makarantun Gaba Da Sakandare Sun Shiga Yajin Aiki A Jihar Naija	Nigeria
Majalisar Dattijan Najeriya ta amince da dokar zabe	Politics
Al'ummar Kasar Yigoslabiya Zasu Kada Kuri'ar Raba Gardama	World
Shin Matsalar Da Kudin Lira Na Turkiyya Ke Fuskanta Za Ta Iya Shafar Naira?	World
Daliban Jami'o'in Najeriya Sun Koka Kan Yajin Aikin Malamai	Nigeria
Wasu 'Yan Gudun Hijira Sun Samu Taimako A Taraba	Nigeria
Wasu Jiragen Ruwa Biyu Sun Kone A Kogin Oman	World
Al'umar Mozambique Na Fuskantar Barazanar Matsananciyar Yunwa	Africa
Sikari Ke Kawo Ciwon Zuciya, Ba Man Kitse Ba	Health
Yara Miliyan 230 Basu Taba Samun Rejistar Haihuwa Ba	Health
Fursunoni 40 Suka Halaka A Fadacefadacen Da Barke A Kasar Brazil	World
Asusun yaki da kanjamau, zazzabin cizon sauro da tarin fuka ya sami tallafi	Health
Taron AU Ya Cimma Yarjejeniyar Cinikayya	Africa
Abin Da Ya Sa Ezekwesili Ta Janye Daga Takarar Shugaban Kasa	Politics
Sai An Hada Kai Za a Iya Tabbatar da Kawar da Polio	Health
Indimi Ya Sake Ginawa ‘Yan Gudun Hijara Gidaje 100	Nigeria
Ma'aikatar Tsaron Amurka Pentagon Tace ISIS Ce ta Kai Harin Jamhiriyar Nijar	World
An Yi Watanni ba a Samu Bullar Polio a Jihar Borno Ba	Health
Bawumia: Matasan Ghana Kada Ku Bari 'Yan Siyasa Suyi Amfani Da Ku	Africa
Ayyuka Sun Tsaya Cik A Kano Sanadiyar Yajin Aikin Ma’aikata	Nigeria
Kungiyar Myetti Allah Tace Bata Shiga Harkokin Siyasar Najeriya	Nigeria
Afghanistan: Dan Kunar Bakin Wake Ya Kashe Mutane Da Raunata Wasu	World
Sarkin Kano Ya Yi Kira A Kwantar Da Hankali Yayin Jiran Kammala Zabuka	Politics
FBI Ta Bankado Wata Babbar Harkar Damfara Ta 'Yan Najeriya	World
Amurka Ta Kama Wani Dan Leken Asirin China	World
Rikicin Jukun/Tiv: Buhari Ya Nemi a Kai Zuciya Nesa	Nigeria
Gwamnan Jihar Bauchi Ya Karyata Zargin Da Ake Masa	Politics
Hukumar Zaben Nigeria, INEC, Na Bukatar Naira Biliyan 189	Politics
Maganin Kashe Kaifin Cutar SIDA Mai Suna Truvada Ya Nuna Alamun Yin Rigakafin kamuwa Da Cutar	Health
Har Yanzu Jihar Kano Ba Ta Da Mataimakin Gwamna	Politics
Najeriya: Akwai Bukatar Tunawa Da Mata a Sabuwar Gwamnatin Buhari	Politics
Wasu Kasashe 8 Na Duniya Zasu Fuskaci Matsalar Shigowa Amurka	World
John Kerry Yayi Tur Da Matakin Da Trump Ya Dauka Kan Yarjejeniyar Nukiliyar Iran.	World
Kamaru Na Raba Dabbobi Don Yakar Boko Haram	Africa
China Da Amurka Sun Kasa Cimma Yarjejeniyar Cinikayya	World
Mutum 5 Sun Mutu a Sabuwar Zanga Zangar Sudan	Africa
Yan Fashi Sun Kashe 'Yan Sanda 6 A Garin Akwanga A Nasarawa	Nigeria
An Fayyace Ma Sabbin Ministocin Najeriya Ma'aikatunsu	Politics
Karo Na Biyu Karamin Yaro Ya Mutu A Tsare Kan Iyakar Amurka	World
Dan Asalin Liberia da Ya Zo Amurka Gudun Hijira Ya Zama Magajin Garin Helena a Jihar Montana, Amurka	World
Ana sa ran mahaukaciyar guguwar teku ta Maria zata ratsa a Martinique da kuma Dominica	World
Amurka Ta Kara Kudin Biza Ga 'Yan Najeriya	World
Masu Kudi Sun Tallafa a Yaki Da Sauyin Yanayi a Yankin Sahel	Africa
An Yi Gwanjon Motocin Kawa Na dan Shugaban Equatorial Guinea	Africa
